run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
19,19,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9548563611491108,14,3,40,3
19,19,DecisionTree,TRAIN,0.8744769874476988,0.8450704225352113,0.759493670886076,0.8,0.9579905063291139,60,11,149,19
20,20,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.9521203830369358,14,2,41,3
20,20,DecisionTree,TRAIN,0.8786610878661087,0.8571428571428571,0.759493670886076,0.8053691275167785,0.9643196202531645,60,10,150,19
21,21,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9548563611491108,15,3,40,2
21,21,DecisionTree,TRAIN,0.891213389121339,0.8840579710144928,0.7721518987341772,0.8243243243243243,0.9602848101265824,61,8,152,18
22,22,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9466484268125855,14,4,39,3
22,22,DecisionTree,TRAIN,0.9079497907949791,0.9014084507042254,0.810126582278481,0.8533333333333334,0.9677215189873418,64,7,153,15
23,23,DecisionTree,TEST,0.9333333333333333,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9534883720930232,15,2,41,2
23,23,DecisionTree,TRAIN,0.891213389121339,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9674841772151899,62,9,151,17
24,24,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9411764705882354,14,4,39,3
24,24,DecisionTree,TRAIN,0.8786610878661087,0.8289473684210527,0.7974683544303798,0.8129032258064516,0.9602848101265823,63,13,147,16
25,25,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9507523939808482,14,4,39,3
25,25,DecisionTree,TRAIN,0.8870292887029289,0.8513513513513513,0.7974683544303798,0.8235294117647058,0.9617088607594937,63,11,149,16
26,26,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.957592339261286,14,2,41,3
26,26,DecisionTree,TRAIN,0.8786610878661087,0.8571428571428571,0.759493670886076,0.8053691275167785,0.9617879746835443,60,10,150,19
27,27,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.948016415868673,14,2,41,3
27,27,DecisionTree,TRAIN,0.891213389121339,0.863013698630137,0.7974683544303798,0.8289473684210527,0.964003164556962,63,10,150,16
28,28,DecisionTree,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9466484268125854,13,4,39,4
28,28,DecisionTree,TRAIN,0.895397489539749,0.875,0.7974683544303798,0.8344370860927153,0.9659810126582278,63,9,151,16
29,29,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.9411764705882353,14,2,41,3
29,29,DecisionTree,TRAIN,0.9163179916317992,0.9154929577464789,0.8227848101265823,0.8666666666666667,0.9679588607594938,65,6,154,14
30,30,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9343365253077975,14,4,39,3
30,30,DecisionTree,TRAIN,0.8870292887029289,0.8714285714285714,0.7721518987341772,0.8187919463087249,0.9607594936708861,61,9,151,18
