run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
24,24,XGBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9138166894664843,14,3,40,3
24,24,XGBoost,TRAIN,0.895397489539749,0.8552631578947368,0.8227848101265823,0.8387096774193549,0.959256329113924,65,11,149,14
25,25,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9097127222982215,14,4,39,3
25,25,XGBoost,TRAIN,0.895397489539749,0.875,0.7974683544303798,0.8344370860927153,0.9613924050632912,63,9,151,16
26,26,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9302325581395349,14,4,39,3
26,26,XGBoost,TRAIN,0.9079497907949791,0.8701298701298701,0.8481012658227848,0.8589743589743589,0.9655458860759494,67,10,150,12
27,27,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.93296853625171,14,4,39,3
27,27,XGBoost,TRAIN,0.9372384937238494,0.8902439024390244,0.9240506329113924,0.906832298136646,0.9744462025316456,73,9,151,6
28,28,XGBoost,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.905608755129959,14,2,41,3
28,28,XGBoost,TRAIN,0.9246861924686193,0.8961038961038961,0.8734177215189873,0.8846153846153846,0.9717167721518989,69,8,152,10
29,29,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9370725034199726,15,4,39,2
29,29,XGBoost,TRAIN,0.9037656903765691,0.85,0.8607594936708861,0.8553459119496856,0.9702531645569621,68,12,148,11
30,30,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9179206566347469,14,5,38,3
30,30,XGBoost,TRAIN,0.891213389121339,0.8533333333333334,0.810126582278481,0.8311688311688312,0.9641613924050633,64,11,149,15
