run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
8,8,Voting,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9370725034199726,13,5,38,4
8,8,Voting,TRAIN,0.8535564853556485,0.7972972972972973,0.7468354430379747,0.7712418300653595,0.9272151898734178,59,15,145,20
9,9,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9384404924760602,12,4,39,5
9,9,Voting,TRAIN,0.8535564853556485,0.7972972972972973,0.7468354430379747,0.7712418300653595,0.928243670886076,59,15,145,20
10,10,Voting,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9357045143638851,14,4,39,3
10,10,Voting,TRAIN,0.8493723849372385,0.7866666666666666,0.7468354430379747,0.7662337662337663,0.9342563291139241,59,16,144,20
11,11,Voting,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.9411764705882353,12,3,40,5
11,11,Voting,TRAIN,0.8117154811715481,0.7236842105263158,0.6962025316455697,0.7096774193548387,0.9115506329113924,55,21,139,24
12,12,Voting,TEST,0.8166666666666667,0.6875,0.6470588235294118,0.6666666666666666,0.9411764705882353,11,5,38,6
12,12,Voting,TRAIN,0.8242677824267782,0.7402597402597403,0.7215189873417721,0.7307692307692307,0.9111550632911393,57,20,140,22
13,13,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9384404924760602,12,4,39,5
13,13,Voting,TRAIN,0.8075313807531381,0.7142857142857143,0.6962025316455697,0.7051282051282052,0.9050632911392406,55,22,138,24
14,14,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9370725034199726,13,4,39,4
14,14,Voting,TRAIN,0.8451882845188284,0.7837837837837838,0.7341772151898734,0.7581699346405228,0.920253164556962,58,16,144,21
15,15,Voting,TEST,0.8166666666666667,0.6875,0.6470588235294118,0.6666666666666666,0.9261285909712722,11,5,38,6
15,15,Voting,TRAIN,0.8577405857740585,0.7922077922077922,0.7721518987341772,0.782051282051282,0.9224683544303798,61,16,144,18
16,16,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9384404924760601,12,4,39,5
16,16,Voting,TRAIN,0.8242677824267782,0.7466666666666667,0.7088607594936709,0.7272727272727273,0.9136075949367088,56,19,141,23
17,17,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9343365253077975,12,4,39,5
17,17,Voting,TRAIN,0.8200836820083682,0.7195121951219512,0.7468354430379747,0.7329192546583851,0.913132911392405,59,23,137,20
